"Lounge","Terminal","Airport","card","Image","Credit Card","ID","Created Date","Updated Date","Owner"
"Travel club lounge "," Terminal 1 - Domestic Departures, Terminal 1B","Chhatrapati Shivaji International Airport, Mumbai ","6E Rewards XL � Indigo Kotak Bank MasterCard","https://www.loungeaccess.in//_next/image?url=%2Fimages%2F1688021193414629416880211934146294AirportImage.png&w=96&q=75",[],"002517c0-852f-4243-8e43-53b935c2b659",2024-05-30T16:53:34Z,2024-05-30T16:53:34Z,"0159b75f-6ea6-4c8e-b0f9-3840c4431a06"
"Blackberry restaurants & bar"," Domestic Terminal - Domestic departure","Coimbatore International Airport, Coimbatore","Club Vistara SBI Visa Card","https://www.loungeaccess.in//_next/image?url=%2Fimages%2F1688020252177969316880202521779693AirportImage.webp&w=96&q=75",[],"005ab649-1888-4490-892d-f8a39c88e3f1",2024-05-30T16:53:39Z,2024-05-30T16:53:39Z,"0159b75f-6ea6-4c8e-b0f9-3840c4431a06"
"Travel club lounge New Terminal"," International Terminal - International Terminal","Chennai International Airport , Chennai","YES Premia Visa Credit Card","https://www.loungeaccess.in//_next/image?url=%2Fimages%2F1687940499819938816879404998199388AirportImage.webp&w=96&q=75",[],"006aaef7-e7e4-440f-b6ac-56816b091920",2024-05-30T16:53:36Z,2024-05-30T16:53:36Z,"0159b75f-6ea6-4c8e-b0f9-3840c4431a06"
"Encalm Lounge"," Terminal 3 - Domestic Departure","Indira Gandhi International Airport , New Delhi ","YES First Preferred Mastercard","https://www.loungeaccess.in//_next/image?url=%2Fimages%2F1688033420806202816880334208062028AirportImage.webp&w=96&q=75",[],"00904c97-881d-4ead-ae6e-7d3f085e90f0",2024-05-30T16:53:51Z,2024-05-30T16:53:51Z,"0159b75f-6ea6-4c8e-b0f9-3840c4431a06"
"Travel Club Lounge B"," Domestic Terminal - Domestic Terminal","Chennai International Airport , Chennai","SpiceJet Axis Bank Voyage Black Credit Card","https://www.loungeaccess.in//_next/image?url=%2Fimages%2F1690288946693662516902889466936625AirportImage.webp&w=96&q=75",[],"00b7b160-263a-456f-85e1-df57d184eb04",2024-05-30T16:53:54Z,2024-05-30T16:53:54Z,"0159b75f-6ea6-4c8e-b0f9-3840c4431a06"
"Encalm Lounge"," Terminal 3 - Domestic Departure","Indira Gandhi International Airport , New Delhi ","Club Vistara SBI Card PRIME Mastercard","https://www.loungeaccess.in//_next/image?url=%2Fimages%2F1690288946693662516902889466936625AirportImage.webp&w=96&q=75",[],"00cfa099-a23f-455c-a442-f7cfa12bc1a1",2024-05-30T16:53:40Z,2024-05-30T16:53:40Z,"0159b75f-6ea6-4c8e-b0f9-3840c4431a06"
"Travel club lounge A"," Domestic Terminal - Domestic Terminal","Chennai International Airport , Chennai","Club Vistara SBI Visa Card","https://www.loungeaccess.in//_next/image?url=%2Fimages%2F1688033420806202816880334208062028AirportImage.webp&w=96&q=75",[],"00ef1739-ab05-4879-9e41-b06928fcb8d6",2024-05-30T16:53:39Z,2024-05-30T16:53:39Z,"0159b75f-6ea6-4c8e-b0f9-3840c4431a06"
"BLR domestic lounge "," Terminal 1 - Domestic departure","Kempegowda International Airport, Bengaluru","Flipkart Axis Bank Visa Credit Card","https://www.loungeaccess.in//_next/image?url=%2Fimages%2F1688020904163860416880209041638604AirportImage.webp&w=96&q=75",[],"011c190a-0def-4bc3-a5bb-11d78b6afa45",2024-05-30T16:53:54Z,2024-05-30T16:53:54Z,"0159b75f-6ea6-4c8e-b0f9-3840c4431a06"
"Travel club lounge Old Terminal"," International Terminal - International Terminal","Chennai International Airport , Chennai","ICICI Bank Sapphiro MasterCard","https://www.loungeaccess.in//_next/image?url=%2Fimages%2F1688020904163860416880209041638604AirportImage.webp&w=96&q=75",[],"0159fc01-8b8e-4449-9fd1-8c6c6d38db7b",2024-05-30T16:53:37Z,2024-05-30T16:53:37Z,"0159b75f-6ea6-4c8e-b0f9-3840c4431a06"
"BLR domestic lounge "," Terminal 1 - Domestic departure","Kempegowda International Airport, Bengaluru","Paytm SBI Visa Credit Card Select","https://www.loungeaccess.in//_next/image?url=%2Fimages%2F1688020252177969316880202521779693AirportImage.webp&w=96&q=75",[],"015a886e-eacc-4b56-b7c7-d0036bf8452b",2024-05-30T16:53:36Z,2024-05-30T16:53:36Z,"0159b75f-6ea6-4c8e-b0f9-3840c4431a06"
